from,transfer_count,total_amount_usd,average_amount_usd
0xd826cbbf712b9dba84058b8fd607370de7311ef0,7,872951.404342,124707.343477
0x96ac01b01299232c6904a3b75f68fd911138ba50,7,4631.526689,661.64667
0x42858b26caf11b12090503df1ad17dced6a24b4d,7,15.29235,2.184621
0xa180099fb2efb9176f2d773efbeef0087a6617bd,7,546.454089,78.06487
0x94f6ced11ed139952fae93ef2503a070a4698947,7,208298.713775,29756.959111
0x0a5b937dc6dc1fe2e7da6348d70c428fd2a4fc13,7,2999.044222,428.434889
0x065f82856b710269b52a69e06a82adb0426309d9,7,107153.275207,15307.610744
0xbf9bfca852e505c0ca3210470621c3d6dd3c62ba,7,8387.206952,1198.172422
0x7b0c35d50775db655738edf3d0689535e38eb83d,7,2793190.024476,399027.146354
0x3f612a65c4020e326745a5d7623cdc1d5fc3bc09,6,16547.627718,2757.937953
0x783d73428ff626d97a69e7e5534ae8a7ef12e8ed,6,16679.885913,2779.980986
0xecad4cd7eff1e37843e4d648e47a96157a9505a0,6,506.855902,84.475984
0xf116a980f9563e16854433d274a8d707af88c530,6,729092.908129,121515.484688
0xe3e56da9addc2e29532669140fb94fa7f21f6e4f,6,31196.682577,5199.447096
0x9649629303d5fed4d1c12d744c057d1c018c976c,6,686314.499641,114385.74994
0xecba2914fe89d59dc790128388506e925bed93cd,6,10096.186926,1682.697821
0x232762d6757d763c79122aaf88d6d1ce4301a27f,6,9243.050254,1540.508376
0x4390b9fdb1099805e36f9d1a6b33b290719cd0c0,6,1604.497907,267.416318
0x78e5bbfd8c81bbf1abc7b60f14af2c53dd85343e,6,1451.688152,241.948025
0x3d3f6fb2dbe565d367cdca54993adfed2abfb247,6,1376760.527,229460.087833
0xe93eaf1bbf439013df06b09d6906bfabd1e8610c,6,42093.352839,7015.558806
0x20f21079dd5dde145bc719dcc459df27bb496d2a,6,97041.720744,16173.620124
0x186f32505dfb4240114a8d7cbe5261efce1c6ae9,6,95783.572682,15963.92878
0x1e9ea8ec9d697c1a14a65f2be4ea3f96c8a879e5,6,455761.092379,75960.182063
0x7e1fb23eb275d5c8230f6dfeb0c3639bedf99ce3,6,1599518.436208,266586.406035
0xb24518f7ec8467c70cde6d719e59bd2fb997a999,6,518352.062534,86392.010422
0x26c674f83eb6dec388e9e04403d38e79d7ff7bbe,6,155.899388,25.983231
0x624ed63c73c5e5e80cfb5b260b4792468935bffd,6,691169.251496,115194.875249
0xf9e90c60973b064b3e97eb5859d049725aa05bd4,6,24185.815638,4030.969273
0x094c989f8c67761496cc06c54b9df532ff07d336,6,48360.837248,8060.139541
0xba1520cc099a4d3c8264f1465d7e607777c6d38f,6,665742.008256,110957.001376
0x5e89a71b8ca649107793accaf5b12dbd1cfdcae5,6,303.818013,50.636336
0xfcf995e9b204d71287bc9d7e511bec7794c52458,6,33876.780832,5646.130139
0xd28f36c23e46f74f851fa41776d3a4d9f878f447,6,2813744.716692,468957.452782
0xd28c89897798514cb066e893f4bb53893bf41ab1,6,5497.05006,916.17501
0x89c96843ea046668f73dff076196f150c8016521,6,0.05997,0.009995
0xd19f28423c862266453a481026ae833e74e4dcee,6,327825.735078,54637.622513
0x5c88c7d0ba359900163217160a978516febc8cbd,6,789.838979,131.63983
0xc28f622742a0a1593a43cd867e14b54db481cc7b,6,18739.941249,3123.323542
0x56b305e0555558c5e5bc169c05d61385601fc1f4,6,27258.153441,4543.025574
0x563f6dcd4cc102a9a5138dab94856d6032b5fbfe,6,5415.593165,902.598861
0x85ea4522599ac89beae848282000b8be4565f4d8,6,301068.869083,50178.144847
0x53b95921d041f5991c69adaba1179e71ed9be9ed,6,33627.769695,5604.628282
0xcc42e0f7b0231d5beaf696e4551e616e0bc51602,6,67.161188,11.193531
0xb8c4efb2d5bf802afcb6f4149bbf09f1fb9a95df,6,82458.75,13743.125
0x0a4fcbe76819f18e19dd488be55ab175a4a018a6,6,2104.969072,350.828179
0x3bd03a1396b6d393e9edbd41cc6aa7c94496069b,6,560.873984,93.478997
0xdaef9ee9fe490d46050b4f2ae6e11a368ba83f01,6,838.408023,139.73467
0x645816c939c4f8fda0599c99e451fb16add52df5,6,91.539718,15.25662
0x91271d9231a874bc0434bf4cc147eda94bfe60c1,6,14768.095571,2461.349262
0xb440faf9c4eb648b5b7064bf36f324bd2ddb9940,6,525.509125,87.584854
0xb2bb5e449cecd82e9a3976e14655668d961211a1,6,195749.43501,32624.905835
0xb6f078e24319488921785d2d76f0c5d85773c1c6,6,24192.386394,4032.064399
